Table_Name,Column_Name,Attribute_Name,Definition,Column_Datatype,Display_Name
msha_commodity_lookup,actv_dt,Activity Date,The date the Activity took place.,date,Activity Date
msha_commodity_lookup,actv_ind,Activity Indicator,The indicator to flag for the presence of Activity. (Y = Yes; N=No),char(1),Activity Indicator
msha_commodity_lookup,cmmdty_cd,Commodity Code,Unique Code assigned to a commodity.,varchar(8),Commodity Code
msha_commodity_lookup,cmmdty_desc,Commodity Description,The description of the Commodity.,varchar(450),Commodity Description
msha_commodity_lookup,inactv_dt,Inactivity Date,N/A,date,Inactivity Date
msha_commodity_lookup,naics_cd,NAICS Code,The unique code number that is assigned to the NAICS.,varchar(8),NAICS Code
msha_commodity_lookup,old_sic_cd,Old SIC Code,N/A,varchar(5),Old SIC Code
msha_commodity_lookup,sffx_cd,Suffix Code,N/A,varchar(4),Suffix Code
msha_commodity_lookup,sic_cd,SIC Code,Description of the Standard Industrial Classification Code (SIC) code for the primary commodity at a mine.  May not contain data (null values).,varchar(8),SIC Code
msha_contractor,cntctr_id,Contractor ID,Identification number assigned by MSHA for a legal entity acting as a contractor at a mine.,varchar2(10),Contractor ID
msha_contractor,cntctr_nm,Contractor Name,Name of contractor.,varchar2(50),Contractor Name
msha_contractor,indstry_dim_id,Industry Code ID,The unique identifier that is assigned to the industry.,int4,No Label
msha_contractor,load_dt,Load Date,The date the load was completed.,date,No Label
msha_contractor,zip_dim_id,Zip Code ID,The zip code number for a particular area.,int4,No Label
msha_controller_history,ctrlr_end_dt,Controller End Date,Date the controller ceased to control the operator.,date mm/dd/yyyy,Controller End Date
msha_controller_history,ctrlr_id,Controller ID,Identification number assigned by MSHA Assessments for a Legal Entity acting as a controller of an operator.  If this person is a controller of an operator. this is the controller ID assigned to this person.,varchar2(7),Controller ID
msha_controller_history,ctrlr_nm,Controller Name,Either the business name or a person's name for the Legal Entity.,varchar2(72),Controller Name
msha_controller_history,ctrlr_start_dt,Controller Start Date,Date this controller started as the controller of the operator.,date mm/dd/yyyy,Controller Start Date
msha_controller_history,indstry_dim_id,Industry Code ID,The unique identifier that is assigned to the industry.,int4,No Label
msha_controller_history,load_dt,Load Date,The date the load was completed.,date,No Label
msha_controller_history,oper_id,Operator ID,Identification number assigned by MSHA for a Legal Entity acting as an operator at a mine.,varchar2(7),Operator ID
msha_controller_history,oper_nm,Operator Name,"""The latest operator name as updated by a LID (legal entity id form) or MIF (mine information form).  If the last action is a LID, it will be updated if Assessments updates the name when it is approved.  A new MIF will subsequently overwrite the mines operator name.  May not contain data (null values) if this record has a status of New Mine.  If it is a New Mine, this information will be entered into the system at a future date. """,varchar2(60),Operator Name
msha_controller_history,state_dim_id,State Code ID,The code used to identify a State.,int4,No Label
msha_cy_cntrctr_emplymnt,annual_coal_prod,Annual Coal Production,"""The annual summation of coal production where the average quarterly employment is greater than zero with grouping by calendar year, subunit code and contractor ID.  Production may have been reported and may not contain data (null values).""",number(9),Annual Coal Production
msha_cy_cntrctr_emplymnt,annual_hrs,Hours Reported for Year,The annual summation of hours where the average quarterly employment is greater than zero with grouping by calendar year. subunit code and contractor ID.,number(8),Hours Reported for Year
msha_cy_cntrctr_emplymnt,avg_annual_empl,Average Annual Employee Count,The average of the quarterly average employee count where the average quarterly employment is greater than zero and is grouped by calendar year. subunit code and contractor ID.,number(6),Average Annual Employee Count
msha_cy_cntrctr_emplymnt,calendar_yr,Calendar Year,The Calendar year for contractor employment.,number(4),Calendar Year
msha_cy_cntrctr_emplymnt,cmdty_type,Commodity Type,Code to indicate if the information is from (C) Coal or (M) Metal/Non-Metal.,char(1),Commodity Type
msha_cy_cntrctr_emplymnt,cntctr_id,Contractor ID,Identification number assigned by MSHA for a legal entity acting as a contractor at a mine.,varchar2(7),Contractor ID
msha_cy_cntrctr_emplymnt,indstry_dim_id,Industry Code ID,The unique identifier that is assigned to the industry.,int4,No Label
msha_cy_cntrctr_emplymnt,load_dt,Load Date,The date the load was completed.,date,No Label
msha_cy_cntrctr_emplymnt,subunit_cd,Subunit Code,Code referring to a location within a mine.,varchar(25),Subunit Code
msha_cy_cntrctr_emplymnt,zip_dim_id,Zip Code ID,The zip code number for a particular area.,int4,No Label
msha_cy_oprtr_emplymnt,annual_coal_prod,Annual Coal Production,"""The annual summation of coal production where the average quarterly employment is greater than zero with grouping by calendar year, subunit code and mine ID.   Production may have been reported and may not contain data (null values).""",number(9),No Label
msha_cy_oprtr_emplymnt,annual_hrs,Hours Reported for Year,The annual summation of hours where the average quarterly employment is greater than zero with grouping by calendar year. subunit code and mine ID,number(8),No Label
msha_cy_oprtr_emplymnt,avg_annual_empl,Average Annual Employee Count,The average of the quarterly average employee count where the average quarterly employment is greater than zero and is grouped by calendar year. subunit code and mine ID.,number(6),No Label
msha_cy_oprtr_emplymnt,calendar_yr,Calendar Year,The Calendar year for operator employment.,number(4),No Label
msha_cy_oprtr_emplymnt,indstry_dim_id,Industry Code ID,The unique identifier that is assigned to the industry.,int4,No Label
msha_cy_oprtr_emplymnt,load_dt,Load Date,The date the load was completed.,date,No Label
msha_cy_oprtr_emplymnt,mine_id,Mine ID,Identification number assigned to the operation by MSHA.,varchar2(7),No Label
msha_cy_oprtr_emplymnt,subunit_cd,Subunit Code,Code referring to a location within a mine.,char(2),No Label
msha_cy_oprtr_emplymnt,zip_dim_id,Zip Code ID,The zip code number for a particular area.,int4,No Label
msha_mine_contractor,cntctr_end_dt,Contractor End Date,Date this contractor ended work at this mine.,date mm/dd/yyyy,Contractor End Date
msha_mine_contractor,cntctr_id,Contractor ID,Identification number assigned by MSHA for a legal entity acting as a contractor at a mine.,varchar2(10),Contractor ID
msha_mine_contractor,cntctr_nm,Contractor Name,Name of contractor.,varchar2(50),Contractor Name
msha_mine_contractor,cntctr_start_dt,Contractor Start Date,Date this contractor started at this mine.,date mm/dd/yyyy,Contractor Start Date
msha_mine_contractor,indstry_dim_id,Industry Code ID,The unique identifier that is assigned to the industry.,int4,No Label
msha_mine_contractor,load_dt,Load Date,The date the load was completed.,date,No Label
msha_mine_contractor,mine_id,Mine ID,Identification number assigned to the mine by MSHA.,varchar2(7),Mine ID
msha_mine_contractor,zip_dim_id,Zip Code ID,The zip code number for a particular area.,int4,No Label
msha_operator_history,indstry_dim_id,Industry Code ID,The unique identifier that is assigned to the industry.,int4,No Label
msha_operator_history,load_dt,Load Date,The date the load was completed.,date,No Label
msha_operator_history,mine_id,Mine ID,Identification number assigned to the mine by MSHA.,varchar2(7),Mine ID
msha_operator_history,mine_nm,Mine Name,Mine name as designated on the Legal Entity ID form (LID) or Mine Information Form (MIF).,varchar2(50),Mine Name
msha_operator_history,oper_end_dt,Operator End Date,End date for this association.  If this is an operator association. this is the end date of the operating period at the mine.,date mm/dd/yyyy,Operator End Date
msha_operator_history,oper_id,Operator ID,Identification number assigned by MSHA for a Legal Entity acting as an operator at a mine.,varchar2(7),Operator ID
msha_operator_history,oper_nm,Operator Name,The name that is being logged for the parent Legal Entity record.,varchar2(60),Operator Name
msha_operator_history,oper_start_dt,Operator Start Date,Start date for this association.  If this is an operator association. this is the start date of the operating period at the mine.,date mm/dd/yyyy,Operator Start Date
msha_operator_history,state_dim_id,State Code ID,The code used to identify a State.,int4,No Label
msha_qtrly_cntrctr_emplymnt,avg_empl_cnt,Average Employee Count,"""Average number of employees reported by the contractor for the applicable quarter, subunit and year beginning in 1990.""",number(6),Average Employee Count
msha_qtrly_cntrctr_emplymnt,cmdty_type,Commodity Type,Code to indicate if the information is from (C) Coal or (M) Metal/Non-Metal.,char(1),Commodity Type
msha_qtrly_cntrctr_emplymnt,cntctr_id,Contractor ID,Identification number assigned by MSHA for a legal entity acting as a contractor at a mine.,varchar2(7),Contractor ID
msha_qtrly_cntrctr_emplymnt,coal_prod,Coal Production,Quarterly coal production in tons for the applicable subunit.,number(10),Coal Production
msha_qtrly_cntrctr_emplymnt,empl_hrs,Employee Hours,Total employee hours reported as being worked during the quarter.,number(8),Employee Hours
msha_qtrly_cntrctr_emplymnt,empl_prod_qtr,Production Quarter,The single-digit quarter for which the employment and production data is reported.,char(1),Production Quarter
msha_qtrly_cntrctr_emplymnt,empl_prod_yr,Production Year,The four-digit year of the employment/production data.,number(4),Production Year
msha_qtrly_cntrctr_emplymnt,fiscal_qtr,Fiscal Quarter,The single-digit fiscal quarter for which the employment and production data is reported.,char(1),Fiscal Quarter
msha_qtrly_cntrctr_emplymnt,fiscal_yr,Fiscal Year,The four-digit fiscal year of the employment/production data,number(4),Fiscal Year
msha_qtrly_cntrctr_emplymnt,indstry_dim_id,Industry Code ID,The unique identifier that is assigned to the industry.,int4,No Label
msha_qtrly_cntrctr_emplymnt,load_dt,Load Date,The date the load was completed.,date,No Label
msha_qtrly_cntrctr_emplymnt,state_dim_id,State Code ID,The code used to identify a State.,int4,No Label
msha_qtrly_cntrctr_emplymnt,subunit_cd,Subunit Code,Code referring to a location within a mine.,char(2),Subunit Code
msha_qtrly_cntrctr_emplymnt,subunit_desc,Subunit Description,"""Description of the subunit code referring to a location within a mine: (01) Underground operation; (02) Surface operation at underground mine; (03) Strip, quarry or open pit; (04) Auger (Coal only); (05) Culm bank or refuse pile (Coal only); (06) Dredge; (12) Other surface (Metal/Non-Metal only);(17) Independent shop or yard;(30) Mill operation, preparation plant or breaker;(99) Office workers at mine site.""",varchar2(32),Subunit Description
msha_qtrly_oprtr_emplymnt,avg_empl_cnt,Average Employee Count,Average number of employees reported by the operator for the applicable quarter. subunit and year beginning in 1990.,number(6),Average Employee Count
msha_qtrly_oprtr_emplymnt,coal_prod,Coal Production,Quarterly coal production in tons reported by the operator for the applicable subunit.,number(10),Coal Production
msha_qtrly_oprtr_emplymnt,empl_hrs,Employee Hours Worked,Total employee hours reported by the operator during the quarter for this subunit. year and quarter.,number(8),Employee Hours Worked
msha_qtrly_oprtr_emplymnt,empl_prod_qtr,Production Quarter,The single-digit quarter for which the employment and production data is reported.,char(1),Production Quarter
msha_qtrly_oprtr_emplymnt,empl_prod_yr,Production Year,The four-digit year of the employment/production data.,number(4),Production Year
msha_qtrly_oprtr_emplymnt,fiscal_qtr,Fiscal Quarter,The single-digit fiscal quarter for which the employment and production data is reported.,char(1),Fiscal Quarter
msha_qtrly_oprtr_emplymnt,fiscal_yr,Fiscal Year,The four-digit fiscal year of the employment/production data.,number(4),Fiscal Year
msha_qtrly_oprtr_emplymnt,indstry_dim_id,Industry Code ID,The unique identifier that is assigned to the industry.,int4,No Label
msha_qtrly_oprtr_emplymnt,load_dt,Load Date,The date the load was completed.,date,No Label
msha_qtrly_oprtr_emplymnt,petreemine_id,Mine ID,Identification number assigned to the operation by MSHA.,varchar2(7),Mine ID
msha_qtrly_oprtr_emplymnt,state_dim_id,State Code ID,The code used to identify a State.,int4,No Label
msha_qtrly_oprtr_emplymnt,subunit_cd,Subunit Code,Code referring to a location within a mine.,char(2),Subunit Code
msha_qtrly_oprtr_emplymnt,subunit_desc,Subunit Description,"""Description of the subunit code referring to a location within a mine: (01) Underground operation; (02) Surface operation at underground mine; (03) Strip, quarry or open pit; (04) Auger (Coal only); (05) Culm bank or refuse pile (Coal only); (06) Dredge; (12) Other surface (Metal/Non-Metal only);(17) Independent shop or yard;(30) Mill operation, preparation plant or breaker;(99) Office workers at mine site.""",varchar2(32),Subunit Description
msha_accident,accident_time,Accident Time,Time the accident/injury/illness occurred (24-hour clock).,number(4),Accident Time
msha_accident,accident_type,Accident Type Code Description,Description of the accident type code.,varchar2(30),Accident Type Code Description
msha_accident,accident_type_cd,Accident Type Code,The accident type code identifies the event which directly resulted in the reported injury/accident.,varchar2(2),Accident Type Code
msha_accident,activity_cd,Miner Activity Code,Code for the specific activity the accident victim was performing at the time of the incident.  May be '?' if invalid code.,varchar2(3),Miner Activity Code
msha_accident,ai_acty_desc,Miner Activity Code Description,Description of the activity code.  May be 'No Value Found' if activity code is invalid.,varchar2(33),Miner Activity Code Description
msha_accident,ai_class_desc,Accident Classification Description,Description of the accident classification code that identifies the circumstances which contributed most directly to the resulting accident.,varchar2(37),Accident Classification Description
msha_accident,ai_dt,Accident Date,Date the accident/injury/illness occurred (mm/dd/yyyy).,date,Accident Date
msha_accident,ai_narr,Accident Narrative,Narrative description of the accident/injury/illness.,varchar2(384),Accident Narrative
msha_accident,ai_occ_desc,Occupation Code Description,Description of the occupation code.,varchar2(40),Occupation Code Description
msha_accident,cal_qtr,Calendar Quarter,Calendar Quarter in which the accident/injury/illness occurred.  It is based on the accident date.,number(1),Calendar Quarter
msha_accident,cal_yr,Calendar Year,Calendar Year in which the accident/injury/illness occurred.  It is based on the accident date.,number(4),Calendar Year
msha_accident,classification_cd,Accident Classification Code,Accident or injury classification code.  The accident classification identifies the circumstances which contributed most directly to the resulting accident.,varchar2(2),Accident Classification Code
msha_accident,closed_doc_no,Closed Document Number,Document number assigned to the Returned to Duty form. The first character is designated as a '3' for the closing document.  The next seven are the Julian date (YYYYDDD).  The last four characters are a sequential number.  May not contain data.,varchar2(12),Closed Document Number
msha_accident,cntctr_id,Contractor ID,Identification number assigned by MSHA for companies working as contractors at a mine.  It is the contractor id of the contractor or contractor employee involved in the accident/injury.  May not contain data (null values) if the accident involved an operator.,varchar2(7),Contractor ID
msha_accident,coal_metal_ind,Coal Metal Indicator,Identifies if the accident occurred at a Coal or Metal/Non-Metal mine.,varchar2(1),Coal Metal Indicator
msha_accident,controller_id,Controller ID,Identification number assigned by MSHA Assessments for a Legal Entity acting as a controller of an operator at the time of the accident.   May not contain data (null values) if this record pertains to a contractor working at the mine.,varchar2(7),Controller ID
msha_accident,controller_name,Controller Name,Name of the controller active at the time of the accident.  May not contain data (null values) if this record pertains to a contractor working at the mine.,varchar2(60),Controller Name
msha_accident,days_lost,Days Lost,Actual days lost from work due to the injury/illness.  May not contain data (null values) if situation does not apply.,number(3),Days Lost
msha_accident,days_restrict,Days Restricted,Number of days of restricted work activity due to the injury/illness.  May not contain data (null values) if situation does not apply.,number(4),Days Restricted
msha_accident,degree_injury_cd,Degree of Injury Code,Code identifying the degree of injury/illness to the individual.,varchar2(2),Degree of Injury Code
msha_accident,document_no,Document Number,"""Document number assigned to the accident/injury form.  The first number designates the type of document:  (1) employment, (2) injury and (3) closing document.  The next seven are the Julian date (YYYYDDD).  The last four characters are a sequential number.""",varchar2(12),Document Number
msha_accident,equip_mfr_cd,Equipment Manufacturer Code,Codes that identify the manufacturer of equipment involved in the incident.  May be '?' if invalid code.,varchar2(4),Equipment Manufacturer Code
msha_accident,equip_mfr_name,Equipment Manufacturer Name,Mining machine manufacturer of a machine involved in an accident.  May be 'No Value Found' if invalid equipment manufacture code.,varchar2(50),Equipment Manufacturer Name
msha_accident,equip_model_no,Equipment Model Number,Model number that identifies the equipment involved in the incident.,varchar2(25),Equipment Model Number
msha_accident,exper_job_calc,Job Experience,Experience in the job title of the person affected calculated in decimal year.  The calculation uses both the years and months experience.  May not contain data (null values).,"""number(4,2)""",Job Experience
msha_accident,exper_mine_calc,Mine Experience,Total experience at a specific mine of the person affected calculated in decimal years.  The calculation uses both the years and months experience at the mine.  May not contain data (null values).,"""number(4,2)""",Mine Experience
msha_accident,exper_tot_calc,Total Experience,Total mining experience of the person affected calculated in decimal years.  The calculation uses both the years and months experience.  May not contain data (null values).,"""number(4,2)""",Total Experience
msha_accident,fips_state_cd,Fips State Code,Federal Information Processing Standard (FIPS) state code.  It refers to the state in which accident/injury/illness occurred.,varchar2(2),Fips State Code
msha_accident,fiscal_qtr,Fiscal Quarter,Fiscal Quarter in which the accident/injury/illness occurred.  It is based on the accident date.,number(1),Fiscal Quarter
msha_accident,fiscal_yr,Fiscal Year,Fiscal Year in which the accident/injury/illness occurred.  MSHA's fiscal year begins October 1 and ends September 30.  It is based on the accident date.,number(4),Fiscal Year
msha_accident,immed_notify,Immediately Notify Code Description,Description of the Immediate Notification code:  (01) Death; (02) Serious injury; (03) Entrapment; (04) Inundation; (05) Gas of dust ignition; (06) Mine fire; (07) Explosives; (08) Roof fall; (09) Outburst; (10) Impounding dam; (11) Hoisting; (12) Offsite,varchar2(20),Immediately Notify Code Description
msha_accident,immed_notify_cd,Immediately Notify Code,Code describing if the accident is one of the 12 types immediately reportable to MSHA.,varchar2(2),Immediately Notify Code
msha_accident,inj_body_part,Injured Body Part Code Description,Description of the part of the body affected by an injury.  May have a description of 'No Value Found' if invalid injured body part code.,varchar2(39),Injured Body Part Code Description
msha_accident,inj_body_part_cd,Injured Body Part Code,Code identifying the part of the body affected by an injury.  May be '?' if invalid code.,varchar2(3),Injured Body Part Code
msha_address_of_record,po_box,PO Box,Post Office box.  May not contain data (null values).,varchar2(30),PO Box
msha_accident,inj_degr_desc,Degree of Injury Code Description,"""Description of the degree of injury/illness to the individual: (0) Accident only; (1) Fatality; (2) Perm total or perm partial disability; (3) Days away from work only; (4) Days away from work and restricted activity; (5) Days restricted activity only; (6) Injuries that do not result in death, or days away from work, or days of restricted work activity; (7) Occupational illnesses; (8) Fatal and non-fatal injuries due to the natural causes; (9) Fatal and non-fatal injuries to non-employees; (10) All other cases, including first aid; (?) No value found.""",varchar2(30),Degree of Injury Code Description
msha_accident,injury_source,Injury Source Description,Description of the injury source code.  May have a description of 'No Value Found' if invalid injury source code.,varchar2(25),Injury Source Description
msha_accident,injury_source_cd,Injury Source Code,"""Code identifying the source of the injury or illness.  The source of injury identifies the object, substances, exposure or bodily motion which directly produced or inflicted the injury.  May be '?' if invalid code.""",varchar2(3),Injury Source Code
msha_accident,invest_begin_dt,Investigation Begin Date,Date the MSHA accident  investigation started (mm/dd/yyyy).,date,Investigation Begin Date
msha_accident,mine_id,Mine ID,Identification number assigned to the mine by MSHA.  It is the mine identification number of the mine where the accident/injury/illness occurred.,varchar2(7),Mine ID
msha_accident,mining_equip,Mining Equipment Code Description,Description for the type of mining equipment involved in the accident.  May be 'No Value Found' if invalid mining equipment code.,varchar2(56),Mining Equipment Code Description
msha_accident,mining_equip_cd,Mining Equipment Code,Code to designate the type of equipment involved in the incident.  May be '?' if invalid code.,varchar2(6),Mining Equipment Code
msha_accident,nature_injury,Nature of Injury Code Description,Description of the nature of the victim's injury.  May have a description of  'No Value Found' if invalid nature of injury code.,varchar2(25),Nature of Injury Code Description
msha_accident,nature_injury_cd,Nature of Injury Code,The nature of injury identifies the injury in terms of its principle physical characteristics.  May be '?' if invalid code.,varchar2(3),Nature of Injury Code
msha_accident,no_injuries,Number of Injuries,Number of reportable injuries or illnesses resulting from the accident.  Zero is a valid number if no employees were injured in the accident or if the injury was not reportable.,number(4),Number of Injuries
msha_accident,occupation_cd,Occupation Code,Three-digit occupation code of the accident victim's regular job title.,varchar2(3),Occupation Code
msha_accident,operator_id,Operator ID,Identification number assigned by MSHA for a Legal Entity acting as an operator at a mine at the time of the accident.  May not contain data (null values) or a contractor id if the accident involved a contractor.,varchar2(7),Operator ID
msha_accident,operator_name,Operator Name,Name of the operator active at the time of the accident.  May not contain data (null values) or a contractor name if the accident involved a contractor.,varchar2(60),Operator Name
msha_accident,return_to_work_dt,Return to Work Date,Date the injured/ill employee returned to work (mm/dd/yyyy).  May not contain data (null values) if situation does not apply.,date,Return to Work Date
msha_accident,schedule_charge,Schedule Charge,"""Charge in days lost for any permanent injury/illness.  Example:  6000 days for a death, 2400 days for the loss of a foot at the ankle.  May not contain data (null values) if situation does not apply.""",number(4),Schedule Charge
msha_accident,shift_begin_time,Shift Begin Time,Time the shift started (24-hour clock) during which the incident occurred.,varchar2(4),Shift Begin Time
msha_accident,subunit_cd,Subunit Code,Code that identifies the location within a mine where the accident/injury/illness occurred.,varchar2(2),Subunit Code
msha_accident,subunit_desc,Subunit Code Description,"""Description of the subunit code referring to a location within a mine: (01) Underground operation; (02) Surface operation at underground mine; (03) Strip, quarry or open pit; (04) Auger (Coal only); (05) Culm bank or refuse pile (Coal only); (06) Dredge; (12) Other surface (Metal/Non-Metal only);(17) Independent shop or yard;(30) Mill operation, preparation plant or breaker;(99) Office workers at mine site.""",varchar2(32),Subunit Code Description
msha_accident,trans_term,Transferred or Terminated,Indicates if the injured/ill employee was permanently transferred or terminated (Y or N).  May not contain data (null values) if situation does not apply.,varchar2(1),Transferred or Terminated
msha_accident,ug_location,Under Ground Location Code Description ,Description of the underground location code where the accident or injury or illness occurred: (1) Vertical shaft; (2) Slope or inclined shaft; (3) Face; (4) Intersection; (5) Underground shop or office; (6) Last open crosscut; (7) Inby permanent support; (8) Haulageway; (9) Other entry (not haulageway); (98) Other; (99) Not marked; (?) No value found.,varchar2(28),Under Ground Location Code Description 
msha_accident,ug_location_cd,Under Ground Location Code,Code identifying the underground location where the accident or injury or illness occurred.,varchar2(2),Under Ground Location Code
msha_accident,ug_mining_method,Under Ground Mining Method Code Description,Description of the underground mining method code where the accident or injury or illness occurred:  (01) Longwall;  (02) Shortwall;  (03) Conventional Stoping;  (05) Continuous Miner;  (06) Hand;  (07) Caving;  (8) Other; (?) No Value Found.,varchar2(20),Under Ground Mining Method Code Description
msha_accident,ug_mining_method_cd,Under Ground Mining Method Code,Description of the underground location code where the accident or injury or illness occurred: (1) Vertical shaft; (2) Slope or inclined shaft; (3) Face; (4) Intersection; (5) Underground shop or office; (6) Last open crosscut; (7) Inby permanent support; (8) Haulageway; (9) Other entry (not haulageway); (98) Other; (99) Not marked; (?) No value found.,varchar2(2),Under Ground Mining Method Code
msha_address_of_record,mine_id,Mine ID,Identification number assigned to the operation by MSHA.,varchar2(7),Mine ID
msha_address_of_record,mine_name,Mine Name,Mine name as designated on the Legal Id Form (LID) or Mine Information Form (MIF).,varchar2(50),Mine Name
msha_address_of_record,contact_title,Contact Title,Contact title associated with this address.  May not contain data (null values).,varchar2(30),Contact Title
msha_violation,cal_yr,Calendar Year,Calendar year during which the citation/order was issued by the MSHA inspector.,number(4),Calendar Year
msha_address_of_record,nearest_town,Nearest Town,The nearest town to the mine entered on the Mine Information Form (MIF).  May not contain data (null values).,varchar2(30),Nearest Town
msha_address_of_record,business_name,Business Name,Optional business name that can be used for this address association to allow a different name than the Legal Entity Name.,varchar2(50),Business Name
msha_address_of_record,street,Street,The first line of a street address.  May not contain data (null values).,varchar2(80),Street
msha_address_of_record,city,City,The literal name of a city.  May not contain data (null values).,varchar2(30),City
msha_address_of_record,state_abbr,State Abbrevation,Standard state abbreviation code.  May not contain data (null values).,varchar2(2),State Abbrevation
msha_address_of_record,fips_state_cd,FIPS State Code,Federal Information Processing Standard (FIPS) numeric state code in which the operation is located.  May not contain data (null values).,varchar2(2),FIPS State Code
msha_address_of_record,state,State Name,Literal name of a state or minor outlying island territory as defined in Federal Information Processing Standard (FIPS) Publication.  May not contain data (null values).,varchar2(40),State Name
msha_address_of_record,zip_cd,Zip Code,The zip code plus 4.  This is only used for U.S. zip codes.  It is not used for foreign postal codes.  May not contain data (null values).,varchar2(9),Zip Code
msha_address_of_record,country,Country,Country is used for foreign addresses.  May not contain data (null values).,varchar2(30),Country
msha_address_of_record,province,Province,Province is used for foreign addresses.  May not contain data (null values).,varchar2(20),Province
msha_address_of_record,postal_cd,Postal Code,Used for foreign addresses.  May not contain data (null values).,varchar2(20),Postal Code
msha_address_of_record,mine_type_cd,Mine Type Code,"""From the Legal ID (LID) form.  Values are Facility, Surface or Underground.""",varchar2(20),Mine Type Code
msha_address_of_record,mine_status,Mine Status,"""Current status of the mine.  Values are Abandoned, Abandoned and Sealed, Active, Intermittent, New Mine, NonProducing and Temporarily Idled (Coal only).""",varchar2(50),Mine Status
msha_address_of_record,mine_status_dt,Mine Status Date,Date the mine obtained the current status from the Mine Information Form (MIF).,date,Mine Status Date
msha_address_of_record,primary_sic_cd,Primary SIC Code,Description of the Standard Industrial Classification (SIC) code for the primary commodity at a mine.,varchar2(80),Primary SIC Code
msha_address_of_record,coal_metal_ind,Coal Metal Indicator,Identifies if the mine is a Coal or Metal/Non-Metal mine.,varchar2(1),Coal Metal Indicator
msha_assssd_violation,citation_nbr,Violation No,Preassigned citation/order/safeguard number of the initial action.,varchar2(7),Violation No
msha_assssd_violation,violator_id,Violator ID,Violator ID. which is the Operator ID. Contractor ID. Miner ID or Agent ID depending on the Violator type.,varchar2(9),Violator ID
msha_assssd_violation,violator_name,Violator Name,The name of the Operator or Contractor at the time of the Assessment.,varchar2(50),Violator Name
msha_assssd_violation,proposed_penalty_amt,Proposed Penalty Amount,One type of Collectable Amounts due on Assessments.,number(9),Proposed Penalty Amount
msha_assssd_violation,current_assessment_amt,Current Assessment Amount,This is the dollar amount due for this Collectable.,number(9),Current Assessment Amount
msha_assssd_violation,paid_proposed_penalty_amt,Paid Proposed Penalty Amount,Dollar amount applied to this Collectable Amount.,number(9),Paid Proposed Penalty Amount
msha_assssd_violation,last_action_code,Last Action Code,Last action taken against this violation.,varchar2(30),Last Action Code
msha_assssd_violation,final_order_date,Final Order Date,Date that this assessment becomes a Final Order.  This date is set when the Certified Return Receipt date (CRR) is set.  Note that this can be a projected future date that is set as soon as the CRR is entered.  ,date,Final Order Date
msha_assssd_violation,bill_print_date,Bill Print Date,Date the bill was printed.  This date always represents the first time the bill was printed.,date,Bill Print Date
